Survived,Pclass,Sex,Age,Embarked,family_group,caculated_fare,fare_group,is_alone,Title
0,3,1,22.0,0,1,3.625,0,1,0
1,1,0,38.0,1,1,35.64165,4,1,2
1,3,0,26.0,0,0,7.925,2,0,1
1,1,0,35.0,0,1,26.55,4,1,2
0,3,1,35.0,0,0,8.05,2,0,0
0,3,1,29.0,2,0,8.4583,2,0,0
0,1,1,54.0,0,0,51.8625,4,0,0
0,3,1,2.0,0,2,4.215,0,1,3
1,3,0,27.0,0,1,3.7111,0,1,2
1,2,0,14.0,1,1,15.0354,3,1,2
1,3,0,4.0,0,1,5.566666666666666,0,1,1
1,1,0,58.0,0,0,26.55,4,0,1
0,3,1,20.0,0,0,8.05,2,0,0
0,3,1,39.0,0,2,4.4678571428571425,0,1,0
0,3,0,14.0,0,0,7.8542,2,0,1
1,2,0,55.0,0,0,16.0,3,0,2
0,3,1,2.0,2,2,4.854166666666667,0,1,3
1,2,1,29.0,0,0,13.0,2,0,0
0,3,0,31.0,0,1,9.0,2,1,2
1,3,0,22.0,1,0,7.225,0,0,2
0,2,1,35.0,0,0,26.0,4,0,0
1,2,1,34.0,0,0,13.0,2,0,0
1,3,0,15.0,2,0,8.0292,2,0,1
1,1,1,28.0,0,0,35.5,4,0,0
0,3,0,8.0,0,2,4.215,0,1,1
1,3,0,38.0,0,2,4.483928571428572,0,1,2
0,3,1,22.0,1,0,7.225,0,0,0
0,1,1,19.0,0,2,43.833333333333336,4,1,0
1,3,0,29.0,2,0,7.8792,2,0,1
0,3,1,29.0,0,0,7.8958,2,0,0
0,1,1,40.0,1,0,27.7208,4,0,4
1,1,0,37.0,1,1,73.2604,4,1,2
1,3,0,28.0,2,0,7.75,1,0,1
0,2,1,66.0,0,0,10.5,2,0,0
0,1,1,28.0,1,1,41.0854,4,1,0
0,1,1,42.0,0,1,26.0,4,1,0
1,3,1,22.0,1,0,7.2292,0,0,0
0,3,1,21.0,0,0,8.05,2,0,0
0,3,0,18.0,0,1,6.0,0,1,1
1,3,0,14.0,1,1,5.62085,0,1,1
0,3,0,40.0,0,1,4.7375,0,1,2
0,2,0,27.0,0,1,10.5,2,1,2
0,3,1,29.0,1,0,7.8958,2,0,0
1,2,0,3.0,1,1,10.3948,2,1,1
1,3,0,19.0,2,0,7.8792,2,0,1
0,3,1,29.0,0,0,8.05,2,0,0
0,3,1,28.0,2,1,7.75,1,1,0
1,3,0,28.0,2,0,7.75,1,0,1
0,3,1,22.0,1,1,7.226400000000001,0,1,0
0,3,0,18.0,0,1,8.9,2,1,2
0,3,1,7.0,0,2,6.614583333333333,0,1,3
0,3,1,21.0,0,0,7.8,1,0,0
1,1,0,49.0,1,1,38.3646,4,1,2
1,2,0,29.0,0,1,13.0,2,1,2
0,1,1,65.0,1,1,30.9896,4,1,0
1,1,1,37.0,0,0,35.5,4,0,0
1,2,0,21.0,0,0,10.5,2,0,1
0,3,1,28.5,1,0,7.2292,0,0,0
1,2,0,5.0,0,1,6.9375,0,1,1
0,3,1,11.0,0,2,5.8625,0,1,3
0,3,1,22.0,1,0,7.2292,0,0,0
1,1,0,38.0,1,0,80.0,4,0,1
0,1,1,45.0,0,1,41.7375,4,1,0
0,3,1,4.0,0,2,4.6499999999999995,0,1,3
0,1,1,37.0,1,0,27.7208,4,0,0
1,3,1,22.0,1,1,5.081933333333333,0,1,3
1,2,0,29.0,0,0,10.5,2,0,2
0,3,1,19.0,0,0,8.1583,2,0,0
1,3,0,17.0,0,2,1.1321428571428571,0,1,1
0,3,1,26.0,0,1,2.8874999999999997,0,1,0
0,2,1,32.0,0,0,10.5,2,0,0
0,3,0,16.0,0,2,5.8625,0,1,1
0,2,1,21.0,0,0,73.5,4,0,0
0,3,1,26.0,1,1,7.2271,0,1,0
1,3,1,32.0,0,0,56.4958,4,0,0
0,3,1,25.0,0,0,7.65,1,0,0
0,3,1,29.0,0,0,7.8958,2,0,0
0,3,1,29.0,0,0,8.05,2,0,0
1,2,1,0.83,0,1,9.666666666666666,2,1,3
1,3,0,30.0,0,0,12.475,2,0,1
0,3,1,22.0,0,0,9.0,2,0,0
1,3,1,29.0,0,0,9.5,2,0,0
1,3,0,28.0,2,0,7.7875,1,0,1
0,1,1,28.0,0,0,47.1,4,0,0
1,2,0,17.0,0,0,10.5,2,0,1
1,3,0,33.0,0,1,3.9625,0,1,2
0,3,1,16.0,0,2,6.875,0,1,0
0,3,1,29.0,0,0,8.05,2,0,0
1,1,0,23.0,0,2,43.833333333333336,4,1,1
0,3,1,24.0,0,0,8.05,2,0,0
0,3,1,29.0,0,0,8.05,2,0,0
0,3,1,20.0,0,0,7.8542,2,0,0
0,1,1,46.0,0,1,30.5875,4,1,0
0,3,1,26.0,0,1,5.14375,0,1,0
0,3,1,59.0,0,0,7.25,0,0,0
0,3,1,29.0,0,0,8.05,2,0,0
0,1,1,71.0,1,0,34.6542,4,0,0
1,1,1,23.0,1,1,31.67915,4,1,0
1,2,0,34.0,0,1,11.5,2,1,2
0,2,1,34.0,0,1,13.0,2,1,0
0,3,0,28.0,0,0,7.8958,2,0,1
0,3,1,29.0,0,0,7.8958,2,0,0
0,1,1,21.0,0,1,38.64375,4,1,0
0,3,1,33.0,0,0,8.6542,2,0,0
0,3,1,37.0,0,1,2.6416666666666666,0,1,0
0,3,1,28.0,0,0,7.8958,2,0,0
1,3,0,21.0,0,0,7.65,1,0,1
1,3,1,28.0,0,0,7.775,1,0,0
0,3,1,38.0,0,0,7.8958,2,0,0
1,3,0,29.0,2,1,12.075,2,1,1
0,1,1,47.0,0,0,52.0,4,0,0
0,3,0,14.5,1,1,7.2271,0,1,1
0,3,1,22.0,0,0,8.05,2,0,0
0,3,0,20.0,0,1,4.9125,0,1,1
0,3,0,17.0,1,0,14.4583,2,0,1
0,3,1,21.0,0,0,7.925,2,0,0
0,3,1,70.5,2,0,7.75,1,0,0
0,2,1,29.0,0,1,10.5,2,1,0
0,1,1,24.0,1,1,123.7604,4,1,0
0,3,0,2.0,0,2,4.4678571428571425,0,1,1
0,2,1,21.0,0,1,24.5,4,1,0
0,3,1,29.0,0,0,8.05,2,0,0
0,2,1,32.5,1,1,15.0354,3,1,0
1,2,0,32.5,0,0,13.0,2,0,1
0,1,1,54.0,0,1,38.64375,4,1,0
1,3,1,12.0,1,1,5.62085,0,1,3
0,3,1,28.0,2,0,7.75,1,0,0
1,3,1,24.0,0,0,7.1417,0,0,0
1,3,0,28.0,1,1,7.452766666666666,1,1,1
0,3,1,45.0,0,0,6.975,0,0,0
0,3,1,33.0,1,0,7.8958,2,0,0
0,3,1,20.0,0,0,7.05,0,0,0
0,3,0,47.0,0,1,7.25,0,1,2
1,2,0,29.0,0,1,13.0,2,1,2
0,2,1,25.0,0,0,13.0,2,0,0
0,2,1,23.0,1,0,15.0458,3,0,0
1,1,0,19.0,0,1,8.7611,2,1,1
0,1,1,37.0,0,1,26.55,4,1,0
0,3,1,16.0,0,0,9.2167,2,0,0
0,1,1,24.0,1,0,79.2,4,0,0
0,3,0,22.0,1,1,5.081933333333333,0,1,2
1,3,0,22.0,0,0,7.75,1,0,1
1,3,0,24.0,0,1,7.925,2,1,2
0,3,1,19.0,2,0,6.75,0,0,0
0,2,1,18.0,0,0,11.5,2,0,0
0,2,1,19.0,0,1,12.25,2,1,0
1,3,1,27.0,0,0,7.7958,1,0,0
0,3,0,9.0,0,2,6.875,0,1,1
0,2,1,36.5,0,1,8.666666666666666,2,1,0
0,2,1,42.0,0,0,13.0,2,0,4
0,2,1,51.0,0,0,12.525,2,0,4
1,1,0,22.0,0,1,33.3,4,1,2
0,3,1,55.5,0,0,8.05,2,0,0
0,3,1,40.5,0,1,4.833333333333333,0,1,0
0,3,1,28.0,0,0,7.3125,1,0,0
0,1,1,51.0,1,1,30.6896,4,1,0
1,3,0,16.0,2,0,7.7333,1,0,1
0,3,1,30.0,0,0,8.05,2,0,0
0,3,1,29.0,0,0,8.6625,2,0,0
0,3,1,22.0,0,2,6.322727272727272,0,1,3
0,3,1,44.0,0,1,8.05,2,1,0
1,2,0,40.0,0,0,15.75,3,0,2
0,3,1,26.0,0,0,7.775,1,0,0
0,3,1,17.0,0,0,8.6625,2,0,0
0,3,1,1.0,0,2,6.614583333333333,0,1,3
1,3,1,9.0,0,1,6.841666666666666,0,1,3
1,1,0,37.0,0,1,27.5,4,1,2
0,3,0,45.0,0,2,4.6499999999999995,0,1,2
0,1,1,37.0,0,0,25.925,4,0,0
0,3,1,28.0,0,0,56.4958,4,0,0
0,1,1,61.0,0,0,33.5,4,0,0
0,3,1,4.0,2,2,4.854166666666667,0,1,3
1,3,0,1.0,0,1,3.7111,0,1,1
0,3,1,21.0,0,0,7.925,2,0,0
0,1,1,56.0,1,0,30.6958,4,0,0
0,3,1,18.0,0,1,2.6180666666666665,0,1,0
0,3,1,22.0,0,2,5.0933399999999995,0,1,3
0,1,0,50.0,1,0,28.7125,4,0,1
0,2,1,30.0,0,0,13.0,2,0,0
0,3,1,36.0,0,0,0.0,0,0,0
0,3,0,22.0,0,2,6.322727272727272,0,1,1
0,2,1,33.0,1,0,15.05,3,0,0
0,3,1,9.0,0,2,4.483928571428572,0,1,3
1,2,1,1.0,0,1,9.75,2,1,3
1,3,0,4.0,0,1,7.341666666666666,1,1,1
0,1,1,37.0,0,0,50.0,4,0,0
1,3,0,28.0,2,1,7.75,1,1,2
1,1,1,45.0,0,0,26.55,4,0,0
0,3,1,40.0,2,1,5.166666666666667,0,1,0
0,3,1,36.0,0,0,7.8958,2,0,0
1,2,0,32.0,0,0,13.0,2,0,2
0,2,1,19.0,0,0,13.0,2,0,0
1,3,0,19.0,0,1,3.9271,0,1,1
1,2,1,3.0,0,1,8.666666666666666,2,1,3
1,1,0,44.0,1,0,27.7208,4,0,2
1,1,0,58.0,1,0,146.5208,4,0,1
0,3,1,28.0,2,0,7.75,1,0,0
0,3,1,42.0,0,1,4.2021,0,1,0
1,3,0,28.0,2,0,7.75,1,0,1
0,2,0,24.0,0,0,13.0,2,0,1
0,3,1,28.0,0,0,9.5,2,0,0
0,3,1,22.0,0,2,6.322727272727272,0,1,0
0,3,1,34.0,0,0,6.4958,0,0,0
0,3,1,45.5,1,0,7.225,0,0,0
1,3,1,18.0,0,0,8.05,2,0,0
0,3,0,2.0,0,1,5.23125,0,1,1
0,3,1,32.0,0,1,7.925,2,1,0
1,3,1,26.0,1,0,18.7875,3,0,0
1,3,0,16.0,2,0,7.75,1,0,1
1,1,1,40.0,1,0,31.0,4,0,0
0,3,1,24.0,0,0,7.05,0,0,0
1,2,0,35.0,0,0,21.0,3,0,1
0,3,1,22.0,0,0,7.25,0,0,0
0,2,1,30.0,0,0,13.0,2,0,0
0,3,1,22.0,2,1,3.875,0,1,0
1,1,0,31.0,1,1,56.6375,4,1,1
1,3,0,27.0,0,0,7.925,2,0,1
0,2,1,42.0,0,1,13.5,2,1,0
1,1,0,32.0,1,0,76.2917,4,0,1
0,2,1,30.0,0,0,10.5,2,0,0
1,3,1,16.0,0,0,8.05,2,0,0
0,2,1,27.0,0,0,13.0,2,0,0
0,3,1,51.0,0,0,8.05,2,0,0
0,3,1,29.0,0,0,7.8958,2,0,0
1,1,1,38.0,0,1,45.0,4,1,0
0,3,1,22.0,0,0,9.35,2,0,0
1,2,1,19.0,0,0,10.5,2,0,0
0,3,1,20.5,0,0,7.25,0,0,0
0,2,1,18.0,0,0,13.0,2,0,0
0,3,0,22.0,0,2,5.0933399999999995,0,1,1
1,1,0,35.0,0,1,41.7375,4,1,2
0,3,1,29.0,0,0,7.775,1,0,0
0,2,1,59.0,0,0,13.5,2,0,0
1,3,0,5.0,0,2,4.483928571428572,0,1,1
0,2,1,24.0,0,0,10.5,2,0,0
0,3,0,28.0,0,0,7.55,1,0,1
0,2,1,44.0,0,1,13.0,2,1,0
1,2,0,8.0,0,1,8.75,2,1,1
0,2,1,19.0,0,0,10.5,2,0,0
0,2,1,33.0,0,0,12.275,2,0,0
0,3,0,22.0,1,1,7.2271,0,1,1
1,3,0,28.0,2,1,7.75,1,1,1
0,2,1,29.0,0,0,10.5,2,0,0
0,3,1,22.0,0,0,7.125,0,0,0
0,3,1,30.0,1,0,7.225,0,0,0
0,1,1,44.0,2,1,30.0,4,1,4
0,3,0,25.0,0,0,7.775,1,0,1
1,2,0,24.0,0,1,4.833333333333333,0,1,2
1,1,1,37.0,0,1,17.518066666666666,3,1,0
0,2,1,54.0,0,1,13.0,2,1,4
0,3,1,22.0,0,0,7.25,0,0,0
0,3,0,29.0,0,1,3.4875000000000003,0,1,2
0,1,1,62.0,0,0,26.55,4,0,0
0,3,1,30.0,0,1,8.05,2,1,0
0,3,0,41.0,0,1,6.7375,0,1,2
1,3,0,29.0,1,1,5.081933333333333,0,1,2
1,1,0,37.0,1,0,79.2,4,0,2
1,1,0,30.0,0,0,86.5,4,0,1
1,1,0,35.0,1,0,512.3292,4,0,1
1,2,0,50.0,0,1,13.0,2,1,2
0,3,1,28.0,2,0,7.75,1,0,0
1,3,1,3.0,0,2,4.483928571428572,0,1,3
0,1,1,52.0,0,1,26.55,4,1,0
0,1,1,40.0,0,0,0.0,0,0,0
0,3,0,28.0,2,0,7.75,1,0,1
0,2,1,36.0,0,0,10.5,2,0,0
0,3,1,16.0,0,2,6.614583333333333,0,1,0
1,3,1,25.0,0,1,3.8875,0,1,0
1,1,0,58.0,0,1,76.73125,4,1,2
1,1,0,35.0,0,0,135.6333,4,0,1
0,1,1,37.0,0,0,31.0,4,0,0
1,3,1,25.0,0,0,0.0,0,0,0
1,2,0,41.0,0,1,9.75,2,1,2
0,1,1,37.0,1,1,14.85,2,1,0
1,3,0,28.0,2,0,7.75,1,0,1
1,1,0,63.0,0,1,38.97915,4,1,1
0,3,0,45.0,0,0,7.75,1,0,1
0,2,1,22.0,0,0,0.0,0,0,0
0,3,1,7.0,2,2,4.854166666666667,0,1,3
1,3,0,35.0,0,1,6.75,0,1,2
0,3,1,65.0,2,0,7.75,1,0,0
0,3,1,28.0,0,0,7.8542,2,0,0
0,3,1,16.0,0,0,9.5,2,0,0
1,3,1,19.0,0,0,8.05,2,0,0
0,1,1,37.0,0,0,26.0,4,0,0
0,3,1,33.0,1,0,8.6625,2,0,0
1,3,1,30.0,0,0,9.5,2,0,0
0,3,1,22.0,0,0,7.8958,2,0,0
1,2,1,42.0,0,0,13.0,2,0,0
1,3,0,22.0,2,0,7.75,1,0,1
1,1,0,26.0,0,0,78.85,4,0,1
1,1,0,19.0,1,1,45.5396,4,1,2
0,2,1,36.0,1,0,12.875,2,0,0
0,3,0,24.0,0,0,8.85,2,0,1
0,3,1,24.0,0,0,7.8958,2,0,0
0,1,1,37.0,1,0,27.7208,4,0,0
0,3,1,23.5,1,0,7.2292,0,0,0
0,1,0,2.0,0,1,37.8875,4,1,1
1,1,1,37.0,0,0,30.5,4,0,0
1,1,0,50.0,1,1,123.7604,4,1,2
1,3,0,28.0,2,0,7.75,1,0,1
1,3,1,28.0,2,1,7.75,1,1,0
0,3,1,19.0,0,0,0.0,0,0,0
1,2,0,29.0,2,0,12.35,2,0,1
0,3,1,29.0,0,0,8.05,2,0,0
1,1,1,0.92,0,1,37.8875,4,1,3
1,1,0,37.0,1,0,110.8833,4,0,1
1,1,0,17.0,1,1,54.45,4,1,2
0,2,1,30.0,1,1,12.0,2,1,0
1,1,0,30.0,1,0,56.9292,4,0,1
1,1,0,24.0,1,0,83.1583,4,0,1
1,1,0,18.0,1,2,52.475,4,1,1
0,2,0,26.0,0,1,8.666666666666666,2,1,2
0,3,1,28.0,0,0,7.8958,2,0,0
0,2,1,43.0,0,1,8.75,2,1,0
1,3,0,26.0,0,0,7.8542,2,0,1
1,2,0,24.0,0,1,13.0,2,1,2
0,2,1,54.0,0,0,14.0,2,0,4
1,1,0,31.0,0,1,54.95556666666667,4,1,1
1,1,0,40.0,1,1,44.833333333333336,4,1,2
0,3,1,22.0,0,0,7.25,0,0,0
0,3,1,27.0,0,0,7.8958,2,0,0
1,2,0,30.0,2,0,12.35,2,0,1
1,2,0,22.0,0,1,9.666666666666666,2,1,2
0,3,1,22.0,0,2,6.322727272727272,0,1,0
1,1,0,36.0,1,0,135.6333,4,0,1
0,3,1,61.0,0,0,6.2375,0,0,0
1,2,0,36.0,0,0,13.0,2,0,2
1,3,0,31.0,0,1,6.841666666666666,0,1,2
1,1,0,16.0,1,1,28.9896,4,1,1
1,3,0,28.0,2,1,7.75,1,1,1
0,1,1,45.5,0,0,28.5,4,0,0
0,1,1,38.0,0,1,76.73125,4,1,0
0,3,1,16.0,0,1,6.0,0,1,0
1,1,0,37.0,0,1,66.825,4,1,2
0,3,1,29.0,0,0,7.8958,2,0,0
0,1,1,29.0,0,1,33.3,4,1,0
1,1,0,41.0,1,0,134.5,4,0,1
1,3,1,45.0,0,0,8.05,2,0,0
0,1,1,45.0,0,0,35.5,4,0,0
1,2,1,2.0,0,1,8.666666666666666,2,1,3
1,1,0,24.0,0,2,43.833333333333336,4,1,1
0,2,1,28.0,0,0,13.0,2,0,0
0,2,1,25.0,0,0,13.0,2,0,0
0,2,1,36.0,0,0,13.0,2,0,0
1,2,0,24.0,0,0,13.0,2,0,1
1,2,0,40.0,0,0,13.0,2,0,1
1,3,0,29.0,0,1,8.05,2,1,2
1,3,1,3.0,0,1,5.3,0,1,3
0,3,1,42.0,0,0,8.6625,2,0,0
0,3,1,23.0,0,0,9.225,2,0,0
0,1,1,37.0,0,0,35.0,4,0,0
0,3,1,15.0,1,1,2.409733333333333,0,1,0
0,3,1,25.0,0,1,8.9,2,1,0
0,3,1,22.0,1,0,7.225,0,0,0
0,3,1,28.0,0,0,9.5,2,0,0
1,1,0,22.0,0,1,27.5,4,1,1
0,2,0,38.0,0,0,13.0,2,0,1
1,3,0,29.0,2,0,7.8792,2,0,1
1,3,0,29.0,2,0,7.8792,2,0,1
0,3,1,40.0,0,2,4.6499999999999995,0,1,0
0,2,1,29.0,1,1,13.8604,2,1,0
0,3,0,45.0,1,1,7.2271,0,1,2
0,3,1,35.0,0,0,7.05,0,0,0
0,3,1,28.0,2,1,7.75,1,1,0
0,3,1,30.0,0,0,7.25,0,0,0
1,1,0,60.0,1,1,37.625,4,1,2
1,3,0,22.0,1,0,7.2292,0,0,2
1,3,0,28.0,2,0,7.75,1,0,1
1,1,0,24.0,1,0,69.3,4,0,4
1,1,1,25.0,1,1,27.72085,4,1,0
0,3,1,18.0,0,1,3.2479,0,1,0
0,3,1,19.0,0,0,8.05,2,0,0
0,1,1,22.0,1,0,135.6333,4,0,0
0,3,0,3.0,0,2,4.215,0,1,1
1,1,0,37.0,1,1,41.0854,4,1,2
1,3,0,22.0,0,0,7.25,0,0,1
0,1,1,27.0,1,1,70.5,4,1,0
0,3,1,20.0,1,0,4.0125,0,0,0
0,3,1,19.0,0,0,7.775,1,0,0
1,1,0,42.0,1,0,227.525,4,0,1
1,3,0,1.0,1,1,5.247233333333333,0,1,1
0,3,1,32.0,0,0,7.925,2,0,0
1,1,0,35.0,0,1,26.0,4,1,2
0,3,1,29.0,0,0,7.8958,2,0,0
0,2,1,18.0,0,0,73.5,4,0,0
0,3,1,1.0,0,2,5.8625,0,1,3
1,2,0,36.0,0,0,13.0,2,0,1
0,3,1,28.0,2,0,7.7292,1,0,0
1,2,0,17.0,1,0,12.0,2,0,1
1,1,1,36.0,0,1,30.0,4,1,0
1,3,1,21.0,0,0,7.7958,1,0,0
0,3,1,28.0,0,1,2.6416666666666666,0,1,0
1,1,0,23.0,1,1,56.6375,4,1,1
1,3,0,24.0,0,1,5.566666666666666,0,1,2
0,3,1,22.0,0,0,7.7958,1,0,0
0,3,0,31.0,0,0,7.8542,2,0,1
0,2,1,46.0,0,0,26.0,4,0,0
0,2,1,23.0,0,0,10.5,2,0,4
1,2,0,28.0,0,0,12.65,2,0,2
1,3,1,39.0,0,0,7.925,2,0,0
0,3,1,26.0,0,0,8.05,2,0,0
0,3,0,21.0,0,1,4.9125,0,1,1
0,3,1,28.0,0,1,7.925,2,1,0
0,3,0,20.0,0,0,8.6625,2,0,1
0,2,1,34.0,0,1,10.5,2,1,0
0,3,1,51.0,0,0,7.75,1,0,0
1,2,1,3.0,0,1,6.25,0,1,3
0,3,1,21.0,0,0,7.775,1,0,0
0,3,0,22.0,0,2,5.0933399999999995,0,1,1
0,3,1,29.0,0,0,7.8958,2,0,0
0,3,1,22.0,2,0,6.8583,0,0,0
1,1,0,33.0,2,1,45.0,4,1,1
0,2,1,22.0,0,0,0.0,0,0,0
1,3,1,44.0,0,0,7.925,2,0,0
0,3,0,29.0,0,0,8.05,2,0,2
1,2,0,34.0,0,1,10.833333333333334,2,1,2
1,2,0,18.0,0,1,4.333333333333333,0,1,1
0,2,1,30.0,0,0,13.0,2,0,0
0,3,0,10.0,0,1,8.049999999999999,2,1,1
0,3,1,29.0,1,0,7.8958,2,0,0
0,3,1,21.0,2,0,7.7333,1,0,0
0,3,1,29.0,0,0,7.875,2,0,0
0,3,0,28.0,0,1,4.8,0,1,2
0,3,1,18.0,0,1,6.7375,0,1,0
0,3,1,22.0,0,0,7.25,0,0,0
1,2,0,28.0,0,1,13.0,2,1,2
1,2,0,19.0,0,0,26.0,4,0,1
0,3,1,28.0,2,0,7.75,1,0,0
1,3,1,32.0,0,0,8.05,2,0,0
1,1,1,28.0,0,0,26.55,4,0,0
1,3,0,29.0,0,1,8.05,2,1,2
1,2,0,42.0,0,1,13.0,2,1,2
0,3,1,17.0,0,0,7.125,0,0,0
0,1,1,50.0,0,1,27.95,4,1,0
1,1,0,14.0,0,1,30.0,4,1,1
0,3,0,21.0,0,2,6.875,0,1,1
1,2,0,24.0,0,2,3.125,0,1,2
0,1,1,64.0,0,2,43.833333333333336,4,1,0
0,2,1,31.0,0,0,10.5,2,0,0
1,2,0,45.0,0,1,8.75,2,1,2
